Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Campina Halfvolle yoghurt,"€1,89",JA,4 g,3.8 g,1.5 g,206 kJ (49 kcal),https://www.ah.nl/producten/product/wi48785/campina-halfvolle-yoghurt,2025-12-08 17:15:01
Almhof Roomyoghurt perzik maracuja,"€1,94",JA,2.7 g,13.5 g,8.2 g,590 kJ (141 kcal),https://www.ah.nl/producten/product/wi63842/almhof-roomyoghurt-perzik-maracuja,2025-12-08 17:15:04
AH Biologisch Halfvolle yoghurt,"€1,69",NEE,4.5 g,5.2 g,1.6 g,224 kJ (53 kcal),https://www.ah.nl/producten/product/wi429772/ah-biologisch-halfvolle-yoghurt,2025-12-08 17:15:07
AH Biologisch Volle yoghurt,"€1,79",NEE,4 g,4.5 g,3.1 g,259 kJ (62 kcal),https://www.ah.nl/producten/product/wi60746/ah-biologisch-volle-yoghurt,2025-12-08 17:15:11
De Zaanse Hoeve Volle yoghurt,"€1,39",NEE,3.7 g,3.9 g,3 g,240 kJ (57 kcal),https://www.ah.nl/producten/product/wi118132/de-zaanse-hoeve-volle-yoghurt,2025-12-08 17:15:15
Campina Volle yoghurt,"€1,95",JA,3.9 g,3.7 g,3.1 g,262 kJ (63 kcal),https://www.ah.nl/producten/product/wi221096/campina-volle-yoghurt,2025-12-08 17:15:19
AH Biologisch Magere yoghurt,"€1,59",NEE,4.2 g,4.8 g,0.4 g,168 kJ (40 kcal),https://www.ah.nl/producten/product/wi61010/ah-biologisch-magere-yoghurt,2025-12-08 17:15:22
De Zaanse Hoeve Yoghurt Griekse stijl 10% vet,"€2,35",NEE,4.5 g,5 g,10 g,532 kJ (128 kcal),https://www.ah.nl/producten/product/wi216237/de-zaanse-hoeve-yoghurt-griekse-stijl-10-vet,2025-12-08 17:15:26
De Zaanse Hoeve Yoghurt Griekse stijl 2% vet,"€2,25",NEE,6 g,4.7 g,2 g,256 kJ (61 kcal),https://www.ah.nl/producten/product/wi407959/de-zaanse-hoeve-yoghurt-griekse-stijl-2-vet,2025-12-08 17:15:29
AH Magere yoghurt,"€1,49",NEE,4.5 g,4.5 g,0 g,153 kJ (36 kcal),https://www.ah.nl/producten/product/wi96643/ah-magere-yoghurt,2025-12-08 17:15:32
AH Biologisch Yoghurt Griekse stijl,"€2,99",NEE,4.5 g,5 g,10 g,532 kJ (128 kcal),https://www.ah.nl/producten/product/wi451172/ah-biologisch-yoghurt-griekse-stijl,2025-12-08 17:15:36
De Zaanse Hoeve Halfvolle yoghurt vanillesmaak,"€1,59",NEE,3.1 g,13 g,1.6 g,333 kJ (79 kcal),https://www.ah.nl/producten/product/wi177474/de-zaanse-hoeve-halfvolle-yoghurt-vanillesmaak,2025-12-08 17:15:39
De Zaanse Hoeve Halfvolle yoghurt,"€1,19",NEE,4 g,4.2 g,1.5 g,195 kJ (46 kcal),https://www.ah.nl/producten/product/wi438675/de-zaanse-hoeve-halfvolle-yoghurt,2025-12-08 17:15:42
De Zaanse Hoeve Magere yoghurt,"€0,85",NEE,4 g,4.3 g,0.1 g,145 kJ (34 kcal),https://www.ah.nl/producten/product/wi1519/de-zaanse-hoeve-magere-yoghurt,2025-12-08 17:15:46
AH Magere yoghurt,"€1,99",NEE,4.4 g,4 g,0.5 g,161 kJ (38 kcal),https://www.ah.nl/producten/product/wi177476/ah-magere-yoghurt,2025-12-08 17:15:49
AH Halfvolle yoghurt,"€1,59",NEE,4.5 g,3.5 g,1.5 g,192 kJ (46 kcal),https://www.ah.nl/producten/product/wi121656/ah-halfvolle-yoghurt,2025-12-08 17:15:52
AH Magere yoghurt aardbei,"€1,69",NEE,3.9 g,11 g,0 g,254 kJ (60 kcal),https://www.ah.nl/producten/product/wi575364/ah-magere-yoghurt-aardbei,2025-12-08 17:15:56
AH Biologisch Yoghurt Griekse stijl 2%,"€2,89",NEE,6 g,4.7 g,2 g,256 kJ (61 kcal),https://www.ah.nl/producten/product/wi585999/ah-biologisch-yoghurt-griekse-stijl-2,2025-12-08 17:15:59
AH Halfvolle yoghurt vanillesmaak,"€1,79",NEE,3.1 g,13 g,1.6 g,333 kJ (79 kcal),https://www.ah.nl/producten/product/wi373908,2025-12-08 17:16:02
AH Magere yoghurt perzik,"€1,49",NEE,3.9 g,11 g,0 g,254 kJ (60 kcal),https://www.ah.nl/producten/product/wi575460/ah-magere-yoghurt-perzik,2025-12-08 17:16:06
Pur Natur Bio yoghurt,"€3,69",NEE,4.4 g,4.5 g,3 g,260 kJ (62 kcal),https://www.ah.nl/producten/product/wi419859/pur-natur-bio-yoghurt,2025-12-08 17:16:10
AH Yoghurt Griekse stijl,"€2,29",NEE,3 g,4.2 g,10 g,492 kJ (119 kcal),https://www.ah.nl/producten/product/wi412578/ah-yoghurt-griekse-stijl,2025-12-08 17:16:13
Arla Lactofree halfvolle yoghurt,"€2,49",NEE,4.3 g,2.2 g,1.5 g,179 kJ (42 kcal),https://www.ah.nl/producten/product/wi212525/arla-lactofree-halfvolle-yoghurt,2025-12-08 17:16:16
Zuivelhoeve Boer'n yoghurt aardbei,"€3,29",JA,4.3 g,9.5 g,3.5 g,366 kJ (87 kcal),https://www.ah.nl/producten/product/wi550133/zuivelhoeve-boer-n-yoghurt-aardbei,2025-12-08 17:16:20
De Zaanse Hoeve Yoghurt Griekse stijl vanillesmaak,"€2,49",NEE,6 g,9.4 g,2 g,336 kJ (80 kcal),https://www.ah.nl/producten/product/wi570914/de-zaanse-hoeve-yoghurt-griekse-stijl-vanillesmaak,2025-12-08 17:16:23
AH Yoghurt Griekse stijl 10% vet,"€1,99",NEE,4.5 g,3.5 g,10 g,506 kJ (122 kcal),https://www.ah.nl/producten/product/wi419839/ah-yoghurt-griekse-stijl-10-vet,2025-12-08 17:16:26
Dodoni Griekse yoghurt 5% vet,"€4,99",NEE,7.9 g,2.8 g,5 g,367 kJ (88 kcal),https://www.ah.nl/producten/product/wi575467/dodoni-griekse-yoghurt-5-vet,2025-12-08 17:16:29
