Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Philadelphia protein cottage cheese,"€0,99",JA,11 g,3 g,2.5 g,337 kJ (80 kcal),https://www.ah.nl/producten/product/wi602293,2025-12-08 16:48:42
Philadelphia Extra proteïne,"€3,19",JA,11 g,4.9 g,2.5 g,366 kJ (87 kcal),https://www.ah.nl/producten/product/wi518778/philadelphia-extra-protei%CC%88ne,2025-12-08 16:48:45
AH Protein mousse chocoladesmaak,"€1,39",NEE,10 g,5 g,1.6 g,322 kJ (76 kcal),https://www.ah.nl/producten/product/wi556294/ah-protein-mousse-chocoladesmaak,2025-12-08 16:48:48
AH Protein pudding karamelsmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,321 kJ (76 kcal),https://www.ah.nl/producten/product/wi556292/ah-protein-pudding-karamelsmaak,2025-12-08 16:48:51
AH Protein pudding chocoladesmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,325 kJ (77 kcal),https://www.ah.nl/producten/product/wi556293/ah-protein-pudding-chocoladesmaak,2025-12-08 16:48:54
Chocomel Protein,"€1,89",JA,8.4 g,4.8 g,0.5 g,252 kJ (60 kcal),https://www.ah.nl/producten/product/wi585881,2025-12-08 16:48:58
AH Protein kwark met yoghurt perzik passie,"€1,29",NEE,12 g,3.5 g,0.4 g,280 kJ (66 kcal),https://www.ah.nl/producten/product/wi556288/ah-protein-kwark-met-yoghurt-perzik-passie,2025-12-08 16:49:04
AH Protein pudding vanille smaak,"€1,29",NEE,10 g,5.5 g,1.5 g,319 kJ (76 kcal),https://www.ah.nl/producten/product/wi575532/ah-protein-pudding-vanille-smaak,2025-12-08 16:49:17
AH Protein kwark met yoghurt framboos,"€1,29",NEE,13 g,3.4 g,0.4 g,297 kJ (70 kcal),https://www.ah.nl/producten/product/wi556289/ah-protein-kwark-met-yoghurt-framboos,2025-12-08 16:49:21
AH Proteïne repen witte choco cookies&cream,"€2,99",NEE,33 g,33 g,18 g,1626 kJ (390 kcal),https://www.ah.nl/producten/product/wi599566/ah-protei%CC%88ne-repen-witte-choco-cookies-en-cream,2025-12-08 16:49:24
AH Proteïne reep witte choco pistache,"€1,35",NEE,33 g,28 g,18 g,1618 kJ (388 kcal),https://www.ah.nl/producten/product/wi599562/ah-protei%CC%88ne-reep-witte-choco-pistache,2025-12-08 16:49:28
AH Protein maiswafels,"€1,49",NEE,24 g,67 g,1.8 g,1631 kJ (385 kcal),https://www.ah.nl/producten/product/wi509517/ah-protein-maiswafels,2025-12-08 16:49:32
AH Protein kwark met yoghurt framboos,"€0,99",NEE,13 g,3.4 g,0.4 g,297 kJ (70 kcal),https://www.ah.nl/producten/product/wi555458/ah-protein-kwark-met-yoghurt-framboos,2025-12-08 16:49:36
HiPRO Pudding pistache,"€1,49",JA,10 g,6.2 g,0.8 g,305 kJ (72 kcal),https://www.ah.nl/producten/product/wi601532/hipro-pudding-pistache,2025-12-08 16:49:39
Optimel Proteïne drinkyoghurt aardbei banaan,"€2,69",NEE,6 g,4.3 g,0 g,193 kJ (46 kcal),https://www.ah.nl/producten/product/wi575535,2025-12-08 16:49:42
AH Protein drink aardbei,"€1,49",NEE,8.3 g,5.3 g,0.4 g,256 kJ (60 kcal),https://www.ah.nl/producten/product/wi556291/ah-protein-drink-aardbei,2025-12-08 16:49:45
AH Proteïne pancakes 4 stuks,"€2,39",NEE,13 g,28 g,7.6 g,1004 kJ (239 kcal),https://www.ah.nl/producten/product/wi560642/ah-protei%CC%88ne-pancakes-4-stuks,2025-12-08 16:49:48
AH Proteine crisps paprika,"€1,69",NEE,28 g,44 g,9.3 g,1672 kJ (398 kcal),https://www.ah.nl/producten/product/wi524468/ah-proteine-crisps-paprika,2025-12-08 16:49:51
AH Protein kwark met yoghurt perzik passie,"€0,99",NEE,12 g,3.5 g,0.4 g,280 kJ (66 kcal),https://www.ah.nl/producten/product/wi555459/ah-protein-kwark-met-yoghurt-perzik-passie,2025-12-08 16:49:55
