Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
HiPRO Proteïne Skyr Stijl Stracciatella 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/hipro-proteine-skyr-stijl-stracciatella-450-g-521733CUP,2025-12-09 16:00:19
HiPRO Protein Drink Framboos Aardbei 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-framboos-aardbei-300-ml-433886FLS,2025-12-09 16:00:22
Ehrmann High Protein Chocolate & Topping with Protein 200 g,"€1,85",JA,"10,0g","5,0g","2,4g",344kJ/82kcal,https://www.jumbo.com/producten/ehrmann-high-protein-chocolate-topping-with-protein-200-g-576944CUP,2025-12-09 16:00:25
HiPRO Protein Skyr Stijl Vanille 450g,"€2,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-skyr-stijl-vanille-450g-478256CUP,2025-12-09 16:00:27
"Campina High Protein Greek Yoghurt 1,5% Fat 1 kg","€3,69",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-1-kg-678562CUP",2025-12-09 16:00:30
Arla Skyr Nature 0% Fat Icelandic Style Yoghurt 1 kg,"€3,79",JA,10 g,4.0 g,0 g,255 kJ 60 kcal,https://www.jumbo.com/producten/arla-skyr-nature-0-fat-icelandic-style-yoghurt-1-kg-248004STK,2025-12-09 16:00:33
Campina High Protein Greek Yoghurt 5% Fat 1 kg,"€3,79",JA,,,,,https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-5-fat-1-kg-678581CUP,2025-12-09 16:00:35
Optimel Proteïne Yoghurt Perzik Passievrucht 0% Vet,"€2,49",JA,8.5 g,4.0 g,0 g,231kJ/54kcal,https://www.jumbo.com/producten/optimel-proteine-yoghurt-perzik-passievrucht-0-vet-612032CUP,2025-12-09 16:00:38
"Campina High Protein Greek Yoghurt 1,5% Fat 2 x 1 kg","€7,38",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-2-x-1-kg-717429STK",2025-12-09 16:00:41
Arla Skyr Aardbei 0% Fat Icelandic Style Yoghurt 450 g,"€2,19",JA,8.5 g,7.5 g,0 g,289 kJ 68 kcal,https://www.jumbo.com/producten/arla-skyr-aardbei-0-fat-icelandic-style-yoghurt-450-g-217285STK,2025-12-09 16:00:43
Arla Skyr Vanille 0% Fat Icelandic Style Yoghurt 1 kg,"€4,19",JA,8.6 g,8.6 g,0 g,309 kJ 73 kcal,https://www.jumbo.com/producten/arla-skyr-vanille-0-fat-icelandic-style-yoghurt-1-kg-368428EM,2025-12-09 16:00:46
