Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Alpro Plantaardige Variatie Op Yoghurt Aardbei 500g,"€2,79",JA,"3,6 g","8,1 g","2,1 g",286 kJ / 68 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-aardbei-500g-352668CUP,2025-12-09 15:14:04
Alpro Plantaardige Variatie Op Yoghurt Bosbes 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-bosbes-500g-44504BAK,2025-12-09 15:14:07
Alpro Plantaardige Variatie Op Yoghurt Kers 500g,"€2,79",JA,"3,7 g","9,4 g","2,0 g",314 kJ / 75 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-kers-500g-86958CUP,2025-12-09 15:14:09
Alpro Plantaardige Variatie Op Yoghurt Perzik 500g,"€2,79",JA,"3,6 g","8,3 g","2,1 g",292 kJ / 69 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-perzik-500g-522825BAK,2025-12-09 15:14:12
Alpro Plantaardige Variatie Op Yoghurt Vanille 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-vanille-500g-10329BKR,2025-12-09 15:14:15
Alpro Plantaardige Variatie Op Griekse Stijl Yoghurt 3.4% Vet 400g,"€2,49",JA,"4,0 g","2,5 g","3,4 g",256 kJ / 61 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-griekse-stijl-yoghurt-34-vet-400g-563545CUP,2025-12-09 15:14:17
Alpro Mild & Creamy Naturel Plantaardige Variatie Op Yoghurt 755g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-naturel-plantaardige-variatie-op-yoghurt-755g-486574PAK,2025-12-09 15:14:20
Alpro Plantaardige Variatie Op Yoghurt Naturel 500g,"€2,49",JA,"4,0 g","2,1 g","2,3 g",212 kJ / 51 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-500g-45178POT,2025-12-09 15:14:22
Alpro Plantaardige Variatie Op Yoghurt Naturel Zonder Suiker 500g,"€2,49",JA,"4,0 g",0 g,"2,3 g",177 kJ / 42 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-zonder-suiker-500g-192073BAK,2025-12-09 15:14:25
Alpro Mild & Creamy Citroen-Limoen Variatie Op Yoghurt 750g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-citroen-limoen-variatie-op-yoghurt-750g-134192PAK,2025-12-09 15:14:28
