Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
HiPRO Protein Drink Framboos Aardbei 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-framboos-aardbei-300-ml-433886FLS,2025-12-09 15:38:26,2.49,,300.0,,,0.7,
Ehrmann High Protein Chocolate & Topping with Protein 200 g,"€1,85",JA,"10,0g","5,0g","2,4g",344kJ/82kcal,https://www.jumbo.com/producten/ehrmann-high-protein-chocolate-topping-with-protein-200-g-576944CUP,2025-12-09 15:38:28,1.85,10.0,200.0,20.0,0.0925,0.7,1.0
HiPRO Protein Skyr Stijl Stracciatella 160 g,"€1,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-skyr-stijl-stracciatella-160-g-578147CUP,2025-12-09 15:38:31,1.49,,160.0,,,0.9,
"Campina High Protein Greek Yoghurt 1,5% Fat 1 kg","€3,69",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-1-kg-678562CUP",2025-12-09 15:38:34,3.69,,1000.0,,,0.9,
Campina High Protein Greek Yoghurt 5% Fat 1 kg,"€3,79",JA,,,,,https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-5-fat-1-kg-678581CUP,2025-12-09 15:38:36,3.79,,1000.0,,,0.9,
"Campina High Protein Greek Yoghurt 1,5% Fat 2 x 1 kg","€7,38",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-2-x-1-kg-717429STK",2025-12-09 15:38:39,7.38,,2000.0,,,0.9,
Ehrmann High Protein Mousse Chocolate 200 g,"€2,19",JA,,,,322kJ/76kcal,https://www.jumbo.com/producten/ehrmann-high-protein-mousse-chocolate-200-g-576942CUP,2025-12-09 15:38:41,2.19,,200.0,,,0.7,
Jumbo High Protein Pudding Karamelsmaak 200 g,"€1,29",JA,"10,0 g","9,1 g","0,9 g",kJ 369 / kcal 87,https://www.jumbo.com/producten/jumbo-high-protein-pudding-karamelsmaak-200-g-635512CUP,2025-12-09 15:38:44,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
Zuivelhoeve XXL High protein Kwark Perzik - Passievrucht 205g,"€1,99",JA,12.0 g,3.5 g,0.4 g,287.0 kJ,https://www.jumbo.com/producten/zuivelhoeve-xxl-high-protein-kwark-perzik-passievrucht-205g-685839ZK,2025-12-09 15:38:47,1.99,12.0,205.0,24.6,0.080894,0.92,1.0
Jumbo High Protein Kwark Vanille Smaak 200 g,"€0,99",JA,10.1 g,3.8 g,0.5 g,kJ 255 / kcal 60,https://www.jumbo.com/producten/jumbo-high-protein-kwark-vanille-smaak-200-g-639187BKR,2025-12-09 15:38:49,0.99,10.1,200.0,20.2,0.04901,0.901,1.0
Jumbo High Protein Kwark Aardbei Kers Smaak 200 g,"€0,99",JA,10.1 g,3.8 g,0.5 g,kJ 255 / kcal 60,https://www.jumbo.com/producten/jumbo-high-protein-kwark-aardbei-kers-smaak-200-g-639188BKR,2025-12-09 15:38:52,0.99,10.1,200.0,20.2,0.04901,0.901,1.0
Jumbo High Protein Kwark Perzik Passievrucht 200 g,"€1,29",JA,12.4 g,3.5 g,0.4 g,kJ 286,https://www.jumbo.com/producten/jumbo-high-protein-kwark-perzik-passievrucht-200-g-688480STK,2025-12-09 15:38:54,1.29,12.4,200.0,24.8,0.052016,0.924,1.0
Jumbo High Protein Kwark Framboos 200 g,"€1,29",JA,12.6 g,3.4 g,0.4 g,kJ 290,https://www.jumbo.com/producten/jumbo-high-protein-kwark-framboos-200-g-688481STK,2025-12-09 15:38:57,1.29,12.6,200.0,25.2,0.05119,0.926,1.0
HiPRO Protein Kwark Bosvruchten 200g,"€1,99",JA,12.4 g,3.6 g,0.4 g,290.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-bosvruchten-200g-578690ZK,2025-12-09 15:38:59,1.99,12.4,200.0,24.8,0.080242,0.924,1.0
HiPRO Protein Kwark Mango 200 g,"€1,99",JA,12.3 g,3.6 g,0.4 g,295.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-mango-200-g-578676ZK,2025-12-09 15:39:02,1.99,12.3,200.0,24.6,0.080894,0.923,1.0
HiPRO Protein Kwark Banaan 200 g,"€1,99",JA,12.4 g,4.0 g,0.4 g,295.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-banaan-200-g-578578ZK,2025-12-09 15:39:05,1.99,12.4,200.0,24.8,0.080242,0.924,1.0
HiPRO Protein Kwark Banaan 6 x 200 g,"€11,94",JA,12.4 g,4.0 g,0.4 g,295.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-banaan-6-x-200-g-578578DSL,2025-12-09 15:39:07,11.94,12.4,1200.0,148.8,0.080242,0.924,1.0
HiPRO Protein Kwark Bosvruchten 6 x  200 g,"€11,94",JA,12.4 g,3.6 g,0.4 g,290.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-bosvruchten-6-x-200-g-578690DSL,2025-12-09 15:39:10,11.94,12.4,1200.0,148.8,0.080242,0.924,1.0
Jumbo High Protein Pudding Vanillesmaak 200 g,"€1,29",JA,"10,0 g","8,4 g","0,9 g",kJ 357 / kcal 84,https://www.jumbo.com/producten/jumbo-high-protein-pudding-vanillesmaak-200-g-635458CUP,2025-12-09 15:39:13,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
Jumbo High Protein Pudding Chocoladesmaak 200 g,"€1,29",JA,"10,0 g","8,5 g","0,9 g",kJ 364 / kcal 86,https://www.jumbo.com/producten/jumbo-high-protein-pudding-chocoladesmaak-200-g-635510CUP,2025-12-09 15:39:15,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
Melkunie Protein Chocolate Flavoured Pudding 200 g,"€1,79",JA,10 g,7.7 g,1.5 g,318 kJ / 75 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-200-g-577753CUP,2025-12-09 15:39:18,1.79,10.0,200.0,20.0,0.0895,0.9,1.0
Ehrmann High Protein Pudding Topping vanille 200 g,"€1,95",JA,"10,0g","5,0g","2,3g",340kJ/81kcal,https://www.jumbo.com/producten/ehrmann-high-protein-pudding-topping-vanille-200-g-576948CUP,2025-12-09 15:39:20,1.95,10.0,200.0,20.0,0.0975,0.7,1.0
Alpro Protein Pudding Vanille Smaak 200g,"€2,39",JA,,,,,https://www.jumbo.com/producten/alpro-protein-pudding-vanille-smaak-200g-577341CUP,2025-12-09 15:39:23,2.39,,200.0,,,0.7,
Alpro Protein Pudding Chocolade Smaak 200g,"€2,39",JA,"10,2 g","6,5 g","2,9 g",399 kJ / 95 kcal,https://www.jumbo.com/producten/alpro-protein-pudding-chocolade-smaak-200g-577340CUP,2025-12-09 15:39:25,2.39,10.2,200.0,20.4,0.117157,0.702,1.0
Melkunie Protein Chocolate Flavoured Pudding 200 g,"€10,74",JA,10 g,7.7 g,1.5 g,318 kJ / 75 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-200-g-577753TRL,2025-12-09 15:39:28,10.74,10.0,200.0,20.0,0.537,0.9,1.0
Melkunie Protein Chocolate Flavoured Pudding 3x 200 g,"€5,37",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-3x-200-g-736565STK,2025-12-09 15:39:31,5.37,,600.0,,,0.9,
Ilo eiwitrijke pudding banaan-toffee,"€1,69",JA,10.3 g,9.8 g,2.6 g,439 kJ / 104 kcal,https://www.jumbo.com/producten/ilo-eiwitrijke-pudding-banaan-toffee-672466STK,2025-12-09 15:39:33,1.69,10.3,,,,0.953,0.7
NXT Level Vanilla Flavor Protein Shake 500 ml,"€2,99",JA,10.0 g,4.0 g,0.2 g,247.0 kJ,https://www.jumbo.com/producten/nxt-level-vanilla-flavor-protein-shake-500-ml-572979FLS,2025-12-09 15:39:36,2.99,10.0,500.0,50.0,0.0598,0.7,1.0
Jumbo High Protein Shake Chocolade Smaak 310 ml,"€1,85",JA,"8,0 g","4,0 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-chocolade-smaak-310-ml-522115FLS,2025-12-09 15:39:39,1.85,8.0,310.0,24.8,0.074597,0.88,1.0
Melkunie Protein Vanilla Flavoured Milk Drink 482 ml,"€2,49",JA,5.7 g,4.9 g,0.9 g,216 kJ 51 kcal,https://www.jumbo.com/producten/melkunie-protein-vanilla-flavoured-milk-drink-482-ml-202935STK,2025-12-09 15:39:41,2.49,5.7,482.0,27.474,0.090631,0.857,0.713
NXT Level Protein Shake Milky Chocolate Flavor 500 ml,"€3,19",JA,10.0 g,4.2 g,0.4 g,257.0 kJ,https://www.jumbo.com/producten/nxt-level-protein-shake-milky-chocolate-flavor-500-ml-457926FLS,2025-12-09 15:39:44,3.19,10.0,500.0,50.0,0.0638,0.9,1.0
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 15:39:46,2.33,7.6,330.0,25.08,0.092903,0.676,0.95
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 15:39:49,1.85,8.0,310.0,24.8,0.074597,0.88,1.0
Zuivelhoeve XXL Nutrition Fit Drink Vanilla Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,255 kJ / 61 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-vanilla-flavor-protein-drink-330-ml-707504FLS,2025-12-09 15:39:52,2.39,10.0,330.0,33.0,0.072424,0.7,1.0
